Período: 1,,,,
EC,,ES344- PRINCIPIOS DE COMUNICACAO,Daniel Cunha ,qua. 10:00-11:50 (E131) / sex. 08:00-09:50 (E131) /  sex. 7:00-7:50
EC,,ES414- SERVOMECANISMO P/ ENG. COMPUTACAO,Carlos Alexandre Barros de Mello ,seg. 10:00-11:50 (E131) / qua. 08:00-09:50 (E131) /  seg. 12:00-12:50 (E131)
EC,,IF684- SISTEMAS INTELIGENTES,Germano Vasconcelos  / Filipe Calegário ,ter. 08:00-09:50 (E131) / sex. 10:00-11:50 (E131) /  ter. 7:00-7:50
EC,,IF688- TEO.IMPLEMEN.LING. COMPUTACIONAIS,Rodrigo Bonifácio de Almeida ,ter. 10:00-11:50 (E132) / qui. 08:00-09:50 (E132) /  qui. 7:00-7:50
Período: 8,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,IF676- METODOL EXPRESSAO TEC-CIENTIFICA,Divanilson Rodrigo de Sousa Campelo ,qua. 10:00-11:50 (E233) / sex. 08:00-09:50 (E233) /  sex. 7:00-7:50
EC,,IF822- PROJETO CO-DESENV. HARD-SOFTWARE,Cristiano Coelho de Araújo ,seg. 08:00-09:50 (E233) / seg. 10:00-11:50 (E233) /  seg. 7:00-7:50
Período: 10,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,IF813- TRABALHO DE GRADUACAO,Jamilson Ramalho Dantas , sáb. 07:00-11:50 sáb. 13:00-17:50
